epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3007,1.43284,3.28708,1.51551,0.00633,0.21741,0.11637,0.06526,1.35714,4.00916,1.45585,0.000360046,0.000360046,0.000360046
2,28.3472,1.49499,2.62249,1.5175,0.64966,0.13502,0.21203,0.11704,1.52201,3.58676,1.59817,0.000706277,0.000706277,0.000706277
3,37.231,1.53263,2.53877,1.54565,0.50316,0.30322,0.30464,0.15694,1.61921,3.09425,1.63667,0.00102807,0.00102807,0.00102807
4,47.4104,1.55345,2.40277,1.54413,0.39499,0.34188,0.3245,0.17114,1.64531,2.92104,1.71184,0.00100101,0.00100101,0.00100101
5,58.8634,1.51717,2.21431,1.51089,0.49692,0.35685,0.34638,0.18248,1.59333,2.96699,1.64564,0.000964348,0.000964348,0.000964348
6,68.8678,1.53752,2.14397,1.54465,0.42851,0.33693,0.34243,0.18484,1.71265,2.80683,1.7323,0.000927685,0.000927685,0.000927685
7,77.7605,1.53863,2.14201,1.53443,0.51192,0.40278,0.41317,0.21765,1.59554,2.51455,1.62494,0.000891022,0.000891022,0.000891022
8,88.636,1.48033,1.99787,1.49793,0.55628,0.44424,0.4421,0.23906,1.55708,2.46207,1.63372,0.000854359,0.000854359,0.000854359
9,98.8615,1.46775,1.91453,1.49286,0.62073,0.40121,0.44825,0.24784,1.56352,2.24779,1.62125,0.000817696,0.000817696,0.000817696
10,108.725,1.47088,1.87563,1.47891,0.67132,0.42176,0.48293,0.25662,1.57842,2.21824,1.66275,0.000781033,0.000781033,0.000781033
11,117.869,1.43629,1.81309,1.48145,0.5696,0.46721,0.49069,0.26076,1.51018,2.13175,1.55366,0.00074437,0.00074437,0.00074437
12,127.719,1.37082,1.72854,1.43359,0.63552,0.50066,0.5357,0.30734,1.45798,1.81819,1.49713,0.000707707,0.000707707,0.000707707
13,137.831,1.37068,1.63991,1.42329,0.67015,0.45918,0.55009,0.30721,1.48076,1.82496,1.53164,0.000671044,0.000671044,0.000671044
14,147.632,1.33063,1.58592,1.42124,0.68544,0.53421,0.57386,0.32423,1.45352,1.76371,1.51968,0.000634381,0.000634381,0.000634381
15,156.93,1.34331,1.5062,1.37309,0.68682,0.54453,0.57073,0.34194,1.41926,1.6528,1.49078,0.000597718,0.000597718,0.000597718
16,167.02,1.28989,1.49517,1.36567,0.71546,0.51744,0.58062,0.3392,1.40291,1.62401,1.4753,0.000561055,0.000561055,0.000561055
17,176.639,1.29354,1.44453,1.33193,0.72466,0.54227,0.60911,0.35716,1.39624,1.56586,1.4587,0.000524392,0.000524392,0.000524392
18,185.696,1.26326,1.44447,1.36581,0.74114,0.53689,0.59613,0.36068,1.36776,1.59798,1.43253,0.000487729,0.000487729,0.000487729
19,195.508,1.24428,1.38399,1.35033,0.71144,0.5408,0.59456,0.35812,1.35989,1.53888,1.41619,0.000451066,0.000451066,0.000451066
20,205.547,1.2472,1.35192,1.31077,0.74739,0.53055,0.59547,0.35797,1.36682,1.52104,1.42396,0.000414403,0.000414403,0.000414403
21,216.944,1.2979,1.47899,1.35685,0.72736,0.52408,0.57287,0.35106,1.40736,1.70987,1.44085,0.00037774,0.00037774,0.00037774
22,224.963,1.24802,1.38928,1.32716,0.78043,0.52606,0.61696,0.37153,1.35418,1.51491,1.40835,0.000341077,0.000341077,0.000341077
23,234.229,1.23073,1.3338,1.33348,0.74585,0.58132,0.63285,0.38482,1.33715,1.48378,1.39259,0.000304414,0.000304414,0.000304414
24,242.937,1.2098,1.29334,1.28581,0.77074,0.5731,0.64342,0.39328,1.2917,1.39061,1.36757,0.000267751,0.000267751,0.000267751
25,251.084,1.14223,1.26284,1.26883,0.74327,0.60453,0.65032,0.40016,1.31067,1.38366,1.37053,0.000231088,0.000231088,0.000231088
26,259.97,1.13872,1.19158,1.24773,0.88137,0.5471,0.66092,0.41142,1.30101,1.33273,1.36103,0.000194425,0.000194425,0.000194425
27,267.997,1.15754,1.22145,1.2536,0.77959,0.5853,0.65692,0.40963,1.2981,1.35927,1.36366,0.000157762,0.000157762,0.000157762
28,276.95,1.13529,1.17265,1.25875,0.80505,0.58401,0.66221,0.41151,1.28349,1.31498,1.3621,0.000121099,0.000121099,0.000121099
29,286.072,1.11628,1.14086,1.24162,0.7595,0.60671,0.65524,0.40613,1.29394,1.3463,1.36795,8.4436e-05,8.4436e-05,8.4436e-05
30,293.845,1.0856,1.11164,1.21573,0.7478,0.60685,0.65907,0.40948,1.29469,1.34979,1.36786,4.7773e-05,4.7773e-05,4.7773e-05
